species,class,order,weight_kg,length_cm,conservation_status
Final small,Actinopterygii,Primates,296.639,431.25,Near Threatened
Performance hand,Aves,Anura,677.33,1676.53,Least Concern
Measure factor,Mammalia,Squamata,622.181,275.33,Critically Endangered
Or participant,Aves,Anura,4080.633,1112.73,Critically Endangered
Another seven,Actinopterygii,Squamata,529.263,1955.4,Least Concern
Several financial,Reptilia,Anura,4138.484,948.9,Endangered
Rich friend,Mammalia,Carnivora,4321.653,772.27,Critically Endangered
Police physical,Mammalia,Carnivora,3416.95,2312.89,Least Concern
Every charge,Aves,Anura,1778.665,2129.9,Least Concern
Suddenly explain,Reptilia,Rodentia,1029.794,1124.74,Near Threatened
Act key,Reptilia,Carnivora,4700.902,2369.11,Least Concern
Player man,Reptilia,Carnivora,3504.66,541.18,Near Threatened
Bill yourself,Actinopterygii,Primates,4436.843,2305.32,Endangered
Six public,Reptilia,Passeriformes,961.703,2477.98,Vulnerable
Car believe,Amphibia,Passeriformes,28.739,1694.32,Endangered
Risk artist,Aves,Squamata,4615.518,1266.35,Near Threatened
Letter task,Reptilia,Primates,3985.793,2501.73,Critically Endangered
Without next,Actinopterygii,Primates,411.264,190.0,Vulnerable
Impact street,Amphibia,Passeriformes,4941.646,4.51,Vulnerable
Radio exist,Actinopterygii,Passeriformes,774.998,1684.82,Vulnerable
Choice key,Mammalia,Anura,1367.743,314.77,Vulnerable
Whom partner,Aves,Squamata,1862.397,1515.12,Least Concern
Item successful,Mammalia,Rodentia,2408.873,221.85,Near Threatened
Word without,Amphibia,Anura,2547.441,1263.53,Endangered
Conference eye,Actinopterygii,Squamata,379.59,1049.64,Near Threatened
Building response,Aves,Primates,3974.147,1400.86,Near Threatened
Wall without,Mammalia,Rodentia,1201.186,1274.72,Vulnerable
Crime individual,Reptilia,Anura,3062.882,2743.76,Extinct in the Wild
Oil poor,Reptilia,Squamata,4934.985,555.78,Endangered
Term social,Mammalia,Carnivora,4362.294,383.15,Critically Endangered
Threat recent,Reptilia,Squamata,3992.545,2032.87,Critically Endangered
Term generation,Mammalia,Carnivora,2038.743,1793.03,Near Threatened
Bad yet,Actinopterygii,Primates,4910.001,2586.81,Extinct in the Wild
Particularly paper,Amphibia,Rodentia,2185.938,1210.27,Near Threatened
Class prepare,Aves,Carnivora,3530.399,2171.49,Near Threatened
Minute hit,Aves,Squamata,3458.216,2561.48,Least Concern
Tend computer,Amphibia,Anura,62.321,224.98,Least Concern
Result lot,Aves,Carnivora,4462.838,1724.34,Near Threatened
Blood our,Amphibia,Primates,659.902,1639.85,Near Threatened
Allow charge,Mammalia,Carnivora,1752.34,315.69,Critically Endangered
Discuss training,Mammalia,Passeriformes,714.016,1584.93,Extinct in the Wild
Exactly toward,Aves,Anura,4529.995,47.96,Critically Endangered
Mention pretty,Mammalia,Primates,2522.496,542.1,Endangered
Affect shoulder,Reptilia,Squamata,1422.066,1706.04,Endangered
Girl fire,Reptilia,Carnivora,3542.126,2487.16,Least Concern
Training imagine,Actinopterygii,Passeriformes,3440.443,2879.27,Extinct in the Wild
Seat behavior,Aves,Passeriformes,1166.844,904.94,Extinct in the Wild
Station model,Mammalia,Anura,1665.789,842.3,Extinct in the Wild
Cost whether,Reptilia,Passeriformes,1754.483,86.17,Extinct in the Wild
Model local,Actinopterygii,Rodentia,3290.811,1609.12,Least Concern
Hard ahead,Aves,Rodentia,1755.37,161.34,Least Concern
Between different,Amphibia,Rodentia,1403.242,2921.36,Extinct in the Wild
Room it,Aves,Squamata,3722.477,445.11,Vulnerable
Her guy,Reptilia,Carnivora,2103.941,755.45,Critically Endangered
Management once,Amphibia,Primates,968.929,1485.97,Near Threatened
Top add,Reptilia,Anura,4103.813,73.14,Endangered
Rest economy,Reptilia,Passeriformes,3769.634,60.42,Least Concern
Make might,Mammalia,Squamata,2769.407,2578.96,Near Threatened
Season concern,Reptilia,Rodentia,1517.434,1049.81,Least Concern
Political item,Reptilia,Rodentia,339.157,1721.94,Near Threatened
He mouth,Actinopterygii,Passeriformes,2961.195,2481.52,Near Threatened
Beat learn,Mammalia,Primates,2590.114,2346.39,Least Concern
Describe wide,Aves,Rodentia,2328.133,2956.88,Least Concern
During interview,Aves,Anura,3906.943,2077.73,Near Threatened
Buy strategy,Actinopterygii,Passeriformes,578.109,295.46,Vulnerable
Street compare,Amphibia,Anura,2595.758,902.25,Vulnerable
Indeed sure,Mammalia,Passeriformes,2283.256,1391.07,Critically Endangered
Meeting think,Reptilia,Anura,1968.016,760.33,Near Threatened
Likely daughter,Reptilia,Carnivora,1769.069,942.97,Near Threatened
Several learn,Mammalia,Primates,305.283,326.01,Critically Endangered
Apply after,Actinopterygii,Squamata,1720.043,685.38,Near Threatened
Building happy,Aves,Anura,611.684,1952.38,Near Threatened
Always us,Reptilia,Squamata,620.575,2964.48,Critically Endangered
Very ability,Reptilia,Squamata,1958.713,726.01,Endangered
Really choice,Aves,Carnivora,1625.512,658.34,Endangered
Tree reduce,Amphibia,Passeriformes,1309.319,1171.24,Critically Endangered
Economy cup,Reptilia,Carnivora,4102.917,1810.53,Least Concern
Others beautiful,Amphibia,Anura,2023.595,1622.42,Near Threatened
Reflect affect,Aves,Primates,380.032,2252.81,Endangered
Impact religious,Actinopterygii,Carnivora,2141.222,2125.09,Least Concern
Attention red,Actinopterygii,Carnivora,3581.777,2159.93,Least Concern
Tend certain,Amphibia,Primates,1989.258,1871.86,Endangered
Again many,Aves,Rodentia,992.134,1278.27,Extinct in the Wild
Else produce,Reptilia,Passeriformes,3528.33,2584.11,Critically Endangered
Nice method,Mammalia,Anura,1964.831,625.13,Endangered
Development action,Reptilia,Passeriformes,4092.731,1620.8,Vulnerable
Close own,Aves,Passeriformes,6.27,2861.03,Critically Endangered
Least book,Aves,Carnivora,4095.637,2700.01,Extinct in the Wild
Agency soldier,Amphibia,Passeriformes,3693.559,1516.03,Least Concern
Foot interest,Aves,Primates,3158.909,2824.49,Endangered
Keep speech,Reptilia,Squamata,2827.066,2819.21,Vulnerable
Speech use,Mammalia,Carnivora,2338.44,2847.08,Endangered
Huge into,Actinopterygii,Squamata,1720.199,1750.75,Vulnerable
Quickly force,Reptilia,Squamata,4396.726,1712.87,Critically Endangered
Sport share,Aves,Primates,3729.224,2115.15,Extinct in the Wild
A visit,Mammalia,Carnivora,2200.149,1153.22,Critically Endangered
Feel measure,Amphibia,Primates,2838.69,1543.81,Critically Endangered
North human,Actinopterygii,Squamata,4622.168,373.73,Least Concern
Who program,Reptilia,Passeriformes,1825.895,724.84,Vulnerable
Leg population,Actinopterygii,Squamata,2817.238,134.34,Extinct in the Wild
Her most,Actinopterygii,Carnivora,4280.165,1598.4,Extinct in the Wild
True per,Actinopterygii,Passeriformes,2980.119,2005.2,Endangered
Participant body,Mammalia,Carnivora,2989.277,1525.72,Endangered
Campaign memory,Aves,Anura,4974.058,902.27,Vulnerable
Even pretty,Mammalia,Carnivora,1327.695,1058.17,Extinct in the Wild
High how,Reptilia,Passeriformes,4005.155,1111.27,Near Threatened
Forget dog,Aves,Anura,3880.554,2934.02,Extinct in the Wild
Official pass,Mammalia,Carnivora,2653.445,2300.38,Endangered
Recently drop,Amphibia,Anura,4085.692,1677.58,Near Threatened
There night,Reptilia,Anura,2404.17,1383.67,Critically Endangered
Great traditional,Actinopterygii,Primates,3129.059,252.37,Near Threatened
Soon media,Amphibia,Rodentia,1379.822,2637.22,Vulnerable
Population loss,Reptilia,Primates,4034.932,958.94,Critically Endangered
Gas lose,Mammalia,Rodentia,4489.621,1819.85,Critically Endangered
Watch key,Actinopterygii,Rodentia,1884.193,750.34,Vulnerable
Simple thousand,Reptilia,Primates,2449.78,1463.79,Extinct in the Wild
Evidence hot,Reptilia,Passeriformes,1647.246,1559.16,Endangered
Director enter,Aves,Squamata,4665.634,2876.91,Extinct in the Wild
Sit leader,Amphibia,Rodentia,4073.365,2094.87,Vulnerable
Within affect,Actinopterygii,Primates,3448.15,392.03,Extinct in the Wild
Fire past,Reptilia,Anura,2328.774,280.66,Endangered
Plant minute,Mammalia,Primates,1782.028,2974.73,Near Threatened
Nearly statement,Aves,Anura,700.073,2232.66,Extinct in the Wild
Both for,Actinopterygii,Passeriformes,1057.955,999.82,Endangered
Agreement realize,Aves,Primates,777.625,28.18,Critically Endangered
Federal ready,Reptilia,Rodentia,1300.851,469.57,Critically Endangered
White yourself,Actinopterygii,Anura,3282.181,1097.46,Near Threatened
One politics,Amphibia,Carnivora,2461.897,236.23,Extinct in the Wild
Often fly,Reptilia,Primates,3369.392,2361.93,Vulnerable
Outside wife,Reptilia,Rodentia,3317.856,2755.99,Extinct in the Wild
Defense positive,Aves,Anura,3509.531,1955.61,Vulnerable
Authority hospital,Reptilia,Rodentia,462.305,201.64,Critically Endangered
Feeling population,Aves,Rodentia,40.966,163.7,Vulnerable
Go administration,Actinopterygii,Passeriformes,747.835,2171.72,Critically Endangered
Like air,Aves,Squamata,2907.19,7.11,Critically Endangered
Radio why,Mammalia,Anura,2290.155,875.9,Critically Endangered
Protect research,Aves,Passeriformes,2217.22,2850.33,Vulnerable
Over expert,Aves,Carnivora,4724.02,855.38,Vulnerable
Investment five,Reptilia,Anura,2777.953,910.7,Critically Endangered
Begin only,Actinopterygii,Passeriformes,2994.485,2885.7,Endangered
Mr structure,Actinopterygii,Primates,4881.785,1181.61,Endangered
Floor environmental,Actinopterygii,Anura,4511.028,919.4,Vulnerable
Away little,Actinopterygii,Anura,3430.816,407.97,Vulnerable
Member establish,Reptilia,Rodentia,624.078,1920.92,Endangered
Sometimes do,Aves,Squamata,551.676,1464.21,Extinct in the Wild
Could simply,Aves,Carnivora,3592.508,2191.8,Extinct in the Wild
Stay study,Reptilia,Squamata,4950.451,332.56,Least Concern
Protect less,Mammalia,Squamata,1987.286,877.17,Endangered
Long build,Amphibia,Squamata,4034.14,2623.92,Vulnerable
Six life,Reptilia,Passeriformes,693.334,2493.99,Endangered
Smile outside,Amphibia,Rodentia,2671.611,2439.83,Extinct in the Wild
Create draw,Actinopterygii,Primates,3400.714,722.23,Extinct in the Wild
Summer wife,Aves,Primates,452.543,235.48,Endangered
Activity people,Actinopterygii,Rodentia,3317.713,2331.8,Endangered
Claim performance,Aves,Squamata,273.908,1058.72,Critically Endangered
As hotel,Reptilia,Rodentia,2215.498,957.45,Vulnerable
Hit level,Mammalia,Rodentia,2642.665,2653.94,Near Threatened
Necessary term,Actinopterygii,Squamata,1998.165,1843.2,Vulnerable
Appear cause,Mammalia,Rodentia,130.285,975.21,Endangered
Fish necessary,Aves,Carnivora,3465.447,1954.29,Critically Endangered
Budget system,Actinopterygii,Rodentia,3214.725,1843.35,Endangered
Gun ever,Amphibia,Squamata,3500.056,2621.56,Extinct in the Wild
Yes pull,Reptilia,Carnivora,3724.078,1918.05,Extinct in the Wild
Medical everyone,Amphibia,Rodentia,4558.915,175.2,Endangered
Top too,Mammalia,Carnivora,855.716,2571.7,Near Threatened
Not world,Amphibia,Carnivora,4671.023,912.77,Vulnerable
Suddenly nothing,Reptilia,Passeriformes,4638.561,1020.47,Near Threatened
Sit individual,Amphibia,Rodentia,1830.677,211.74,Near Threatened
Tend special,Actinopterygii,Squamata,2800.152,942.71,Endangered
Even rather,Mammalia,Rodentia,3446.047,958.2,Vulnerable
Board thing,Amphibia,Anura,366.274,928.61,Endangered
All attack,Mammalia,Primates,1867.657,1135.34,Extinct in the Wild
Hour wish,Actinopterygii,Carnivora,841.937,1253.13,Near Threatened
Enter agree,Amphibia,Passeriformes,4076.963,905.09,Critically Endangered
Small scene,Mammalia,Carnivora,1895.646,1729.82,Critically Endangered
Hundred find,Aves,Primates,3441.144,2195.96,Endangered
Article population,Aves,Primates,1670.457,202.65,Critically Endangered
Size think,Aves,Passeriformes,3440.624,2753.51,Endangered
Provide clearly,Actinopterygii,Carnivora,3184.83,1831.34,Critically Endangered
Catch generation,Actinopterygii,Carnivora,3266.505,2458.68,Extinct in the Wild
Business force,Aves,Squamata,3220.163,1639.26,Critically Endangered
Provide then,Mammalia,Passeriformes,3135.671,2181.95,Least Concern
Peace upon,Mammalia,Squamata,2854.84,2039.6,Near Threatened
Race window,Mammalia,Rodentia,2311.775,150.36,Least Concern
Too happy,Aves,Primates,1770.209,2543.64,Extinct in the Wild
Establish world,Reptilia,Carnivora,2455.183,2429.71,Vulnerable
Life quite,Mammalia,Anura,2048.226,156.21,Near Threatened
Factor hour,Mammalia,Passeriformes,2067.047,1584.93,Vulnerable
Major Democrat,Aves,Primates,3669.512,459.78,Vulnerable
My and,Amphibia,Squamata,331.419,2404.56,Least Concern
Blood north,Reptilia,Passeriformes,2577.121,992.99,Endangered
Nothing beat,Aves,Anura,258.196,2226.96,Least Concern
Difficult wait,Mammalia,Anura,4395.347,1403.92,Endangered
Whether American,Actinopterygii,Anura,363.008,1540.17,Extinct in the Wild
Several financial,Amphibia,Anura,3179.543,1351.18,Endangered
Tend picture,Reptilia,Anura,3244.653,2562.27,Critically Endangered
Effect pick,Actinopterygii,Primates,1121.077,2124.49,Critically Endangered
Staff writer,Amphibia,Anura,4922.586,1315.63,Critically Endangered
Character surface,Actinopterygii,Squamata,2584.897,41.52,Near Threatened
Eat rise,Actinopterygii,Anura,3262.364,2837.57,Extinct in the Wild
Church property,Aves,Passeriformes,882.997,29.74,Least Concern
For environment,Reptilia,Anura,1843.555,1178.06,Critically Endangered
Information get,Actinopterygii,Primates,2067.453,2586.08,Endangered
Whether report,Actinopterygii,Rodentia,323.116,2834.31,Endangered
Compare project,Amphibia,Carnivora,815.834,954.64,Near Threatened
Artist know,Actinopterygii,Anura,599.41,18.11,Near Threatened
Political room,Actinopterygii,Squamata,309.593,1173.23,Near Threatened
Worry city,Reptilia,Anura,1234.041,844.77,Near Threatened
Little possible,Actinopterygii,Rodentia,2199.165,1392.76,Endangered
Quickly pay,Mammalia,Primates,3623.081,2563.19,Near Threatened
Image there,Amphibia,Squamata,4610.799,544.29,Near Threatened
Gas price,Reptilia,Anura,2162.261,1799.73,Least Concern
Entire morning,Reptilia,Squamata,4873.925,115.45,Least Concern
Quality read,Amphibia,Passeriformes,2021.106,2205.05,Least Concern
Party right,Amphibia,Carnivora,417.995,2744.85,Vulnerable
Both although,Aves,Rodentia,866.688,2477.42,Endangered
Water according,Actinopterygii,Passeriformes,731.502,2948.86,Critically Endangered
Future government,Amphibia,Anura,3704.593,1246.52,Endangered
Local themselves,Mammalia,Passeriformes,1757.791,1529.11,Extinct in the Wild
Hope author,Mammalia,Squamata,1131.647,164.85,Near Threatened
Avoid per,Mammalia,Squamata,3339.306,122.86,Vulnerable
Teacher wind,Amphibia,Rodentia,3215.663,2477.31,Critically Endangered
Amount focus,Aves,Squamata,4263.48,1285.31,Endangered
Care wish,Amphibia,Squamata,672.95,624.38,Extinct in the Wild
To positive,Mammalia,Rodentia,4622.827,747.45,Least Concern
Gun side,Mammalia,Carnivora,2976.095,2879.06,Near Threatened
Middle reflect,Aves,Passeriformes,256.788,621.06,Endangered
Environment stuff,Aves,Anura,1032.463,436.94,Critically Endangered
Form eat,Amphibia,Primates,4044.397,16.45,Endangered
Ask ball,Amphibia,Anura,4765.343,1053.01,Endangered
Begin per,Amphibia,Passeriformes,271.709,2271.14,Least Concern
During issue,Amphibia,Squamata,4653.304,749.7,Near Threatened
Who knowledge,Amphibia,Squamata,3602.984,1235.94,Critically Endangered
Today like,Actinopterygii,Anura,1661.642,161.97,Critically Endangered
Movie professional,Mammalia,Anura,1139.127,2960.46,Critically Endangered
Change sister,Mammalia,Rodentia,24.203,987.32,Endangered
Cause perform,Aves,Rodentia,3529.951,615.59,Critically Endangered
Human product,Aves,Rodentia,8.565,1516.78,Critically Endangered
Class realize,Amphibia,Primates,1405.558,2545.79,Vulnerable
Should likely,Aves,Passeriformes,1992.493,2212.76,Vulnerable
Get read,Actinopterygii,Squamata,2468.651,79.0,Least Concern
Significant forget,Reptilia,Anura,1964.222,1260.36,Near Threatened
Simple require,Mammalia,Rodentia,1013.342,2937.74,Extinct in the Wild
Everything present,Aves,Rodentia,2631.493,2652.66,Endangered
Easy fine,Aves,Rodentia,2155.994,2517.67,Least Concern
Mr strong,Aves,Rodentia,2098.325,2096.65,Extinct in the Wild
Decision fact,Mammalia,Passeriformes,1253.042,1249.69,Least Concern
Sing herself,Amphibia,Rodentia,4942.54,2385.22,Vulnerable
Listen why,Amphibia,Primates,2616.216,1358.09,Near Threatened
Plan trip,Aves,Passeriformes,4196.614,2676.89,Extinct in the Wild
Our simply,Mammalia,Rodentia,2947.931,682.95,Vulnerable
Market increase,Reptilia,Anura,2944.082,1720.48,Least Concern
Star phone,Actinopterygii,Anura,1458.269,829.41,Near Threatened
He group,Mammalia,Rodentia,3856.572,75.3,Extinct in the Wild
His be,Aves,Passeriformes,1989.859,853.24,Endangered
Skin set,Reptilia,Carnivora,3575.502,260.29,Least Concern
Sit sport,Reptilia,Rodentia,985.28,562.23,Extinct in the Wild
Soon agent,Mammalia,Squamata,2161.263,1892.65,Vulnerable
Man institution,Mammalia,Anura,1036.457,855.97,Extinct in the Wild
Free list,Reptilia,Primates,1601.993,2705.89,Extinct in the Wild
Example deal,Reptilia,Carnivora,327.675,1082.96,Extinct in the Wild
Level hold,Mammalia,Primates,1665.584,818.81,Critically Endangered
Want service,Mammalia,Passeriformes,3469.213,2489.83,Endangered
His position,Amphibia,Primates,2775.695,463.85,Vulnerable
Within fly,Reptilia,Passeriformes,2296.478,369.76,Endangered
Effect standard,Aves,Rodentia,2929.964,2882.96,Endangered
Very open,Actinopterygii,Rodentia,111.676,2374.19,Critically Endangered
Simple become,Amphibia,Squamata,2092.152,2609.95,Least Concern
Different husband,Actinopterygii,Carnivora,4458.652,2767.98,Least Concern
Customer leave,Aves,Squamata,3025.084,953.43,Endangered
Minute alone,Amphibia,Carnivora,4871.517,740.74,Least Concern
Police authority,Actinopterygii,Rodentia,605.025,197.99,Vulnerable
East health,Amphibia,Passeriformes,652.717,1495.46,Critically Endangered
Others member,Aves,Anura,3919.935,727.04,Extinct in the Wild
Sing whatever,Reptilia,Primates,4360.419,756.92,Endangered
Among brother,Amphibia,Primates,3342.074,1242.62,Vulnerable
Together watch,Aves,Primates,1281.586,1969.36,Extinct in the Wild
Poor tonight,Actinopterygii,Squamata,968.163,1327.69,Near Threatened
Development building,Reptilia,Passeriformes,3496.497,1723.14,Least Concern
Fear south,Actinopterygii,Passeriformes,1157.775,1949.28,Least Concern
Staff above,Mammalia,Anura,2970.958,754.19,Endangered
It account,Amphibia,Primates,3259.271,2840.95,Least Concern
You find,Reptilia,Rodentia,4363.08,166.38,Endangered
Through writer,Actinopterygii,Carnivora,3431.892,1006.06,Near Threatened
Center pretty,Actinopterygii,Primates,1149.839,908.35,Least Concern
Base especially,Actinopterygii,Rodentia,703.724,2231.92,Endangered
Save sing,Reptilia,Passeriformes,1753.765,2953.44,Extinct in the Wild
Cultural perform,Aves,Carnivora,1850.273,1707.19,Extinct in the Wild
Page finish,Aves,Rodentia,3003.103,2720.27,Vulnerable
Save age,Amphibia,Rodentia,504.86,924.05,Vulnerable
View mother,Amphibia,Rodentia,1495.529,959.77,Extinct in the Wild
Machine economy,Amphibia,Anura,4572.782,1240.94,Near Threatened
Modern me,Mammalia,Squamata,2683.088,1927.33,Endangered
Call only,Reptilia,Rodentia,976.687,683.56,Extinct in the Wild
Event well,Amphibia,Primates,4441.845,2091.48,Vulnerable
Their news,Reptilia,Primates,201.501,1050.22,Vulnerable
Almost fish,Aves,Rodentia,2102.417,1337.06,Critically Endangered
Her federal,Mammalia,Squamata,446.54,1192.92,Critically Endangered
Case understand,Reptilia,Passeriformes,4407.212,2667.39,Endangered
Result establish,Amphibia,Anura,2289.472,1764.03,Near Threatened
Name prove,Reptilia,Rodentia,688.843,517.98,Critically Endangered
Democratic official,Reptilia,Anura,2571.657,2089.1,Endangered
Reach second,Amphibia,Rodentia,2081.681,2317.34,Extinct in the Wild
Street item,Mammalia,Rodentia,2358.814,2410.48,Extinct in the Wild
Range next,Reptilia,Rodentia,1101.475,36.73,Endangered
Hold yes,Aves,Carnivora,1459.05,2514.37,Least Concern
Meet couple,Reptilia,Rodentia,4701.504,1662.38,Endangered
Agree music,Aves,Squamata,2186.106,1219.86,Extinct in the Wild
Perhaps with,Mammalia,Carnivora,831.449,1970.61,Vulnerable
Six Mr,Aves,Squamata,89.926,2814.5,Near Threatened
Degree woman,Mammalia,Squamata,3021.405,176.56,Vulnerable
Rule peace,Aves,Rodentia,2814.159,1792.85,Vulnerable
Run indicate,Mammalia,Passeriformes,4068.37,1540.52,Endangered
Out see,Actinopterygii,Carnivora,2763.57,386.16,Vulnerable
Any positive,Reptilia,Passeriformes,3161.062,1430.78,Vulnerable
Impact management,Mammalia,Anura,2354.212,2990.88,Least Concern
Level be,Mammalia,Anura,4373.648,1072.0,Endangered
Head interest,Reptilia,Passeriformes,1459.069,1679.8,Vulnerable
Material hear,Mammalia,Rodentia,1653.5,537.24,Near Threatened
Save clearly,Reptilia,Primates,3290.288,1564.19,Vulnerable
Year choice,Reptilia,Carnivora,537.079,1585.09,Least Concern
Wind land,Aves,Primates,86.059,2367.09,Near Threatened
International several,Actinopterygii,Primates,2901.854,2059.54,Near Threatened
Artist moment,Reptilia,Primates,2624.598,2875.55,Least Concern
Big state,Amphibia,Anura,1563.291,1187.42,Critically Endangered
Other take,Mammalia,Primates,4774.766,768.1,Extinct in the Wild
Budget nearly,Reptilia,Rodentia,934.776,2824.13,Vulnerable
Role mind,Actinopterygii,Squamata,1742.083,1040.59,Vulnerable
Either father,Aves,Squamata,3849.983,569.78,Least Concern
Perform effort,Amphibia,Anura,4142.918,264.53,Vulnerable
Window first,Aves,Passeriformes,3829.357,1999.43,Least Concern
Smile to,Amphibia,Primates,867.391,1260.85,Endangered
Wide result,Mammalia,Primates,1710.674,399.07,Endangered
Others new,Mammalia,Primates,4112.569,575.99,Critically Endangered
Trouble price,Reptilia,Squamata,3182.764,242.73,Vulnerable
Yeah break,Reptilia,Rodentia,4181.289,2706.78,Near Threatened
Arm collection,Reptilia,Rodentia,3350.127,729.3,Vulnerable
Including instead,Mammalia,Passeriformes,2553.454,15.46,Critically Endangered
Evening major,Aves,Anura,2896.043,2638.56,Vulnerable
Treat into,Reptilia,Primates,324.662,2661.65,Critically Endangered
Production situation,Actinopterygii,Rodentia,4958.557,1788.25,Least Concern
Very up,Actinopterygii,Squamata,699.884,590.82,Endangered
Capital relate,Amphibia,Carnivora,3888.674,2950.43,Near Threatened
Our very,Aves,Anura,1736.377,763.07,Least Concern
Eight cause,Reptilia,Passeriformes,1701.565,2200.22,Least Concern
Describe which,Reptilia,Anura,1238.174,1431.95,Vulnerable
Song poor,Actinopterygii,Primates,396.455,2898.72,Vulnerable
Support scientist,Aves,Rodentia,3025.614,796.33,Least Concern
Cold through,Aves,Passeriformes,4634.398,1134.92,Endangered
Onto enter,Mammalia,Anura,4840.87,2587.45,Near Threatened
Car pressure,Aves,Primates,1639.868,1304.67,Near Threatened
Peace quickly,Actinopterygii,Primates,992.85,659.6,Least Concern
Nation president,Amphibia,Carnivora,3460.044,1485.96,Least Concern
Along professor,Mammalia,Primates,2923.81,830.39,Critically Endangered
Space reality,Mammalia,Rodentia,1449.558,287.7,Extinct in the Wild
Line mouth,Reptilia,Rodentia,3263.923,113.68,Near Threatened
Event stand,Aves,Primates,779.839,1519.22,Endangered
Tough guess,Reptilia,Rodentia,1855.482,773.49,Near Threatened
Trial scene,Reptilia,Passeriformes,2940.883,2245.12,Endangered
Kitchen door,Reptilia,Passeriformes,1001.851,135.44,Least Concern
Born community,Actinopterygii,Passeriformes,917.791,1158.33,Vulnerable
Few treatment,Mammalia,Primates,1470.932,720.13,Critically Endangered
Audience will,Mammalia,Anura,2717.384,1656.41,Extinct in the Wild
Not change,Aves,Anura,4383.977,2829.99,Critically Endangered
Our on,Actinopterygii,Rodentia,4112.501,2379.87,Extinct in the Wild
Control cause,Mammalia,Passeriformes,2788.755,586.55,Vulnerable
Fish some,Mammalia,Anura,875.066,1987.14,Critically Endangered
Ready generation,Aves,Squamata,3244.131,420.72,Least Concern
Support really,Reptilia,Anura,2958.255,424.39,Endangered
His central,Reptilia,Primates,702.897,278.42,Vulnerable
Stop occur,Mammalia,Anura,3998.249,495.16,Critically Endangered
Note wait,Amphibia,Squamata,4716.971,602.17,Critically Endangered
Teach start,Mammalia,Squamata,4070.277,1047.88,Critically Endangered
Record unit,Mammalia,Primates,1875.713,1513.65,Critically Endangered
Rise themselves,Actinopterygii,Squamata,4462.344,609.05,Critically Endangered
There heavy,Mammalia,Carnivora,4211.994,446.35,Vulnerable
For easy,Aves,Carnivora,996.675,2018.82,Extinct in the Wild
Source offer,Amphibia,Anura,1024.586,1848.24,Near Threatened
Head send,Actinopterygii,Passeriformes,434.606,731.49,Endangered
Discussion ready,Actinopterygii,Rodentia,4699.215,79.8,Critically Endangered
Return pressure,Amphibia,Carnivora,3798.294,568.48,Near Threatened
Economy put,Actinopterygii,Carnivora,2876.699,894.56,Near Threatened
Eat author,Actinopterygii,Carnivora,4992.591,1416.6,Critically Endangered
Yourself customer,Mammalia,Rodentia,4477.078,32.83,Extinct in the Wild
There gas,Mammalia,Anura,104.162,1103.12,Vulnerable
Maybe medical,Reptilia,Squamata,4647.637,1368.4,Endangered
Sit firm,Aves,Primates,2329.581,1540.64,Near Threatened
Minute best,Reptilia,Carnivora,4779.043,2532.16,Vulnerable
People quickly,Actinopterygii,Rodentia,3581.524,1442.27,Extinct in the Wild
Stuff line,Reptilia,Squamata,4027.436,491.75,Least Concern
Possible production,Aves,Carnivora,166.936,2317.39,Extinct in the Wild
Area class,Actinopterygii,Primates,909.615,2397.05,Least Concern
Woman fund,Amphibia,Anura,2462.396,724.83,Near Threatened
Article those,Mammalia,Primates,405.974,2514.09,Least Concern
Call computer,Aves,Primates,965.638,2297.28,Vulnerable
Mission democratic,Reptilia,Anura,1403.559,829.66,Critically Endangered
Personal authority,Amphibia,Passeriformes,1372.218,2008.09,Critically Endangered
Heavy coach,Reptilia,Squamata,2475.208,2866.02,Vulnerable
Political ability,Actinopterygii,Primates,831.139,2144.31,Critically Endangered
Wish fight,Mammalia,Passeriformes,4795.334,442.66,Extinct in the Wild
Class for,Amphibia,Rodentia,4955.405,1160.83,Least Concern
Person speech,Mammalia,Carnivora,1815.711,2238.01,Near Threatened
But skill,Actinopterygii,Squamata,4422.07,359.03,Vulnerable
Strong it,Mammalia,Passeriformes,1472.138,1076.93,Near Threatened
Heavy activity,Mammalia,Carnivora,2890.498,2709.81,Endangered
Doctor speak,Mammalia,Rodentia,4646.532,1807.61,Near Threatened
Cause rate,Reptilia,Primates,2762.205,1534.7,Least Concern
Wife hard,Reptilia,Carnivora,1558.159,2852.85,Near Threatened
Much speak,Amphibia,Passeriformes,4574.028,93.05,Vulnerable
Wide my,Reptilia,Carnivora,203.937,190.82,Vulnerable
Record put,Mammalia,Rodentia,2703.002,2727.4,Extinct in the Wild
Line present,Actinopterygii,Anura,2689.391,62.84,Vulnerable
Blood other,Aves,Carnivora,2848.504,647.72,Critically Endangered
Option such,Aves,Passeriformes,2114.632,330.08,Critically Endangered
World we,Reptilia,Rodentia,3512.765,1600.82,Least Concern
Discussion your,Actinopterygii,Carnivora,2961.494,586.59,Vulnerable
Budget matter,Mammalia,Carnivora,4626.784,1711.79,Near Threatened
Fine their,Reptilia,Squamata,1676.708,481.15,Least Concern
Direction break,Aves,Squamata,843.794,2378.84,Critically Endangered
Maintain American,Actinopterygii,Passeriformes,3862.313,1010.22,Critically Endangered
Term military,Reptilia,Anura,652.008,1061.99,Vulnerable
Now claim,Reptilia,Primates,2115.745,756.69,Least Concern
Environmental challenge,Aves,Carnivora,208.441,922.14,Critically Endangered
